仮符号が "2014 W" (2014/11/16 - 2014/11/30) と "2015 B" (2015/01/16 - 2015/01/31) になる天体は除いてあります。
     H448139  C2016 06 11.51544 22 14 21.55 +03 20 14.6          25.0 r      T09
     H448139  C2016 06 11.52267 22 14 21.55 +03 20 14.9          24.8 r      T09
     H448139  C2016 06 11.53353 22 14 21.53 +03 20 14.9          24.7 r      T09
     H350086 4C2016 07 05.42198 22 13 35.61 +03 24 45.1          25.3 i1     T09
     H350086 4C2016 07 05.43770 22 13 35.57 +03 24 45.1          24.4 i1     T09
     H350086 4C2016 07 05.45137 22 13 35.52 +03 24 45.2          24.8 i1     T09
     H360325 4C2016 07 07.43034 22 13 29.84 +03 24 52.5          25.3 g1     T09
     H360325 4C2016 07 07.44313 22 13 29.81 +03 24 52.5          25.3 g1     T09
     H360325 4C2016 07 07.45581 22 13 29.78 +03 24 52.5          25.2 g1     T09

TNO //
     H447658  C2016 07 29.35965 22 08 15.41 +03 55 49.7          23.0 z      T09
     H447658  C2016 07 29.37188 22 08 15.38 +03 55 49.7          23.0 z      T09
     H447658  C2016 07 29.39345 22 08 15.31 +03 55 49.4          23.0 z      T09
     H447658  C2016 07 29.40423 22 08 15.26 +03 55 49.2          23.1 z      T09
     H447658  C2016 07 29.41504 22 08 15.23 +03 55 49.2          23.1 z      T09
     H447661  C2016 08 06.40281 22 07 48.10 +03 54 12.6          23.7 r      T09
     H447661  C2016 08 06.40707 22 07 48.08 +03 54 12.2          23.9 r      T09
     H447661  C2016 08 06.40918 22 07 48.07 +03 54 12.4          24.0 r      T09
     H447652  C2016 08 28.28350 22 06 29.15 +03 47 45.7          23.2 i      T09
     H447652  C2016 08 28.28962 22 06 29.12 +03 47 45.7          23.3 i      T09
     H447652  C2016 08 28.30855 22 06 29.06 +03 47 45.4          23.2 i      T09
     H447652  C2016 08 28.31665 22 06 29.02 +03 47 45.0          22.9 i      T09
     H447652  C2016 08 28.32210 22 06 29.01 +03 47 45.0          23.1 i      T09

TNO //
     H453015  C2019 02 05.53446 12 09 53.87 +02 28 54.5          24.7 i      T09
     H453015  C2019 02 05.66520 12 09 53.50 +02 28 57.3          24.9 i      T09
     H369021  C2019 04 04.44671 12 06 06.39 +02 55 05.8          26.0 g      T09
     H369021  C2019 04 04.45724 12 06 06.35 +02 55 06.2          26.4 g      T09
     H453019  C2019 04 05.52031 12 06 01.83 +02 55 34.6          24.6 r      T09
     H453019  C2019 04 05.55382 12 06 01.68 +02 55 35.4          24.8 r      T09
     H453019  C2019 04 05.57268 12 06 01.61 +02 55 35.7          25.1 r      T09
